page,format,group,name,variant,description,item_code,dimensions,unit,skid_size,price,trade_price,unit_price,splitting_fee,delivery,raw
5,bulk,BULK AGGREGATE,3/4 Crusher Run,,,,,Tonne,,$27.60,$23.00,,,,3/4 Crusher Run Tonne $27.60 $23.00
5,bulk,BULK AGGREGATE,3/4 Clear Stone,,,,,Tonne,,$37.80,$31.50,,,,3/4 Clear Stone Tonne $37.80 $31.50
5,bulk,BULK AGGREGATE,"2"" Crusher Run (50mm)",,,,,Tonne,,$27.60,$23.00,,,,"2"" Crusher Run (50mm) Tonne $27.60 $23.00"
5,bulk,BULK AGGREGATE,50mm Clear,,,,,Tonne,,$37.80,$31.50,,,,50mm Clear Tonne $37.80 $31.50
5,bulk,BULK AGGREGATE,A-Gravel,,,,,Tonne,,$28.50,$23.75,,,,A-Gravel Tonne $28.50 $23.75
5,bulk,BULK AGGREGATE,HPB (High Performance Bedding),,,,,Tonne,,$34.68,$28.90,,,,HPB (High Performance Bedding) Tonne $34.68 $28.90
5,bulk,BULK AGGREGATE,Limestone Screenings,,,,,Tonne,,$24.00,$20.00,,,,Limestone Screenings Tonne $24.00 $20.00
5,bulk,BULK AGGREGATE,Sand Fill,,,,,Tonne,,$18.78,$15.65,,,,Sand Fill Tonne $18.78 $15.65
5,bulk,BULK AGGREGATE,Screened Sand,,,,,Tonne,,$19.50,$16.25,,,,Screened Sand Tonne $19.50 $16.25
5,bulk,BULK AGGREGATE,Brick Sand,,,,,Tonne,,$21.75,$19.75,,,,Brick Sand Tonne $21.75 $19.75
5,bulk,BULK AGGREGATE,"White Dolomite Marble - 1""-1-1/2""",,,,,Tonne,,$160.19,$145.63,,,,"White Dolomite Marble - 1""-1-1/2"" Tonne $160.19 $145.63"
5,bulk,BULK GRANITE AGGREGATE,1/2 Clear Stone Granite,,,,,Tonne,,$92.19,$83.81,,,,1/2 Clear Stone Granite Tonne $92.19 $83.81
5,bulk,BULK GRANITE AGGREGATE,"Black Granite 7/8""-2""",,,,,Tonne,,$93.62,$85.11,,,,"Black Granite 7/8""-2"" Tonne $93.62 $85.11"
5,bulk,BULK GRANITE AGGREGATE,Granite Screening,,,,,Tonne,,$50.40,$42.00,,,,Granite Screening Tonne $50.40 $42.00
5,bulk,BULK GRANITE AGGREGATE,Pea Stone,,,,,Tonne,,$70.80,$59.00,,,,Pea Stone Tonne $70.80 $59.00
5,bulk,BULK GRANITE AGGREGATE,"1"" Riverstone",,,,,Tonne,,$70.36,$58.64,,,,"1"" Riverstone Tonne $70.36 $58.64"
5,bulk,BULK GRANITE AGGREGATE,"2"" Riverstone",,,,,Tonne,,$84.60,$70.50,,,,"2"" Riverstone Tonne $84.60 $70.50"
5,bulk,BULK GRANITE AGGREGATE,"4"" Riverstone",,,,,Tonne,,$82.50,$68.75,,,,"4"" Riverstone Tonne $82.50 $68.75"
5,bulk,MULCH,Black Mulch,,,,,Yard,,$60.50,$55.00,,,,Black Mulch Yard $60.50 $55.00
5,bulk,MULCH,Brown Mulch,,,,,Yard,,$60.50,$55.00,,,,Brown Mulch Yard $60.50 $55.00
5,bulk,MULCH,Cedar Mulch,,,,,Yard,,$73.70,$67.00,,,,Cedar Mulch Yard $73.70 $67.00
5,bulk,MULCH,Shredded Pine Mulch,,,,,Yard,,$66.00,$60.00,,,,Shredded Pine Mulch Yard $66.00 $60.00
5,bulk,SOILS,Screened Topsoil,,,,,Yard,,$18.00,$15.00,,,,Screened Topsoil Yard $18.00 $15.00
5,bulk,SOILS,Triple Mix ( 50% Topsoil/50% Compost),,,,,Yard,,$57.00,$47.00,,,,Triple Mix ( 50% Topsoil/50% Compost) Yard $57.00 $47.00
5,bulk,SOILS,Planting Mix (75% Topsoil/25% Compost),,,,,Yard,,$46.00,$36.00,,,,Planting Mix (75% Topsoil/25% Compost) Yard $46.00 $36.00
5,bulk,SOILS,"Contractor Blend Soil (2"" Screened)",,,,,Yard,,$10.00,$8.00,,,,"Contractor Blend Soil (2"" Screened) Yard $10.00 $8.00"
5,bulk,SOILS,Compost (Premium Compost),,,,,Yard,,$57.00,$56.00,,,,Compost (Premium Compost) Yard $57.00 $56.00
5,bulk,"SEED, SOD & FERTILIZER",No 1 Premium Lawn Mix-25KG(55.13LB),,,,,Each,,$155.04,$144.84,,,,No 1 Premium Lawn Mix-25KG(55.13LB) Each $155.04 $144.84
5,bulk,"SEED, SOD & FERTILIZER",No 1 Premium Lawn Mix-4.54KG(10LB),,,,,Each,,$29.64,$27.69,,,,No 1 Premium Lawn Mix-4.54KG(10LB) Each $29.64 $27.69
5,bulk,"SEED, SOD & FERTILIZER",Sun & Shade Mixture-25KG(55.13LB),,,,,Each,,$176.01,$164.43,,,,Sun & Shade Mixture-25KG(55.13LB) Each $176.01 $164.43
5,bulk,"SEED, SOD & FERTILIZER",Sun & Shade Mixture-4.54KG(10LB),,,,,Each,,$33.40,$31.24,,,,Sun & Shade Mixture-4.54KG(10LB) Each $33.40 $31.24
5,bulk,"SEED, SOD & FERTILIZER",Thicker Lawn Mixtyure-25KG(55.13LB),,,,,Each,,$155.04,$144.84,,,,Thicker Lawn Mixtyure-25KG(55.13LB) Each $155.04 $144.84
5,bulk,"SEED, SOD & FERTILIZER",Thicker Lawn Mixture-4.54KG(10LB),,,,,Each,,$29.64,$27.69,,,,Thicker Lawn Mixture-4.54KG(10LB) Each $29.64 $27.69
5,bulk,"SEED, SOD & FERTILIZER",Turf Starter - 10-25-10 (7.5KG),,,,,Each,,$23.48,$21.93,,,,Turf Starter - 10-25-10 (7.5KG) Each $23.48 $21.93
5,bulk,"SEED, SOD & FERTILIZER",Spring Green Up -18-3-6 (7.5KG),,,,,Each,,$17.78,$16.61,,,,Spring Green Up -18-3-6 (7.5KG) Each $17.78 $16.61
5,bulk,"SEED, SOD & FERTILIZER",Spring Green Up -18-3-6 (15KG),,,,,Each,,$31.38,$29.32,,,,Spring Green Up -18-3-6 (15KG) Each $31.38 $29.32
5,bulk,"SEED, SOD & FERTILIZER",All Season - 20-0-5 (7.5KG),,,,,Each,,$18.46,$17.25,,,,All Season - 20-0-5 (7.5KG) Each $18.46 $17.25
5,bulk,LANDSCAPE ACCESSORIES,Snap Edge Paver Restraint (8 FT),,,,,Each,,$16.28,$14.80,,,,Snap Edge Paver Restraint (8 FT) Each $16.28 $14.80
5,bulk,LANDSCAPE ACCESSORIES,Evolution Polymeric Sand 50 lb - Beige,,,,,Each,,$33.50,$30.32,,,,Evolution Polymeric Sand 50 lb - Beige Each $33.50 $30.32
5,bulk,LANDSCAPE ACCESSORIES,Evolution Polymeric Sand 50 lb - Black,,,,,Each,,$43.00,$40.31,,,,Evolution Polymeric Sand 50 lb - Black Each $43.00 $40.31
5,bulk,LANDSCAPE ACCESSORIES,Evolution Polymeric Sand 50 lb - Grey,,,,,Each,,$39.30,$35.73,,,,Evolution Polymeric Sand 50 lb - Grey Each $39.30 $35.73
